episode,total_reward,normalised_reward,steps,mean_loss,completed_requests,picked_up_requests,avg_wait_until_pickup,avg_excess_ride_time,epsilon,lr,eval_completed_requests,eval_picked_up_requests,eval_avg_wait_until_pickup,eval_avg_excess_ride_time,eval_eval_total_reward,eval_eval_steps
45,360.1850718528409,1.8009253592642045,200,1.2446460127830505,200,200,237.7,115.25582814790971,0.04126903553299493,4.451558837514802e-05,200.0,200.0,223.15,107.79085840708233,364.8241253242698,200.0
46,358.0359918229197,1.7901799591145986,200,1.2714860773086547,200,200,225.0,128.46613200534898,0.04106598984771574,4.4268088856414926e-05,,,,,,
47,317.4328190527335,1.5871640952636676,200,1.2988957929611207,200,200,526.05,371.8084799843411,0.04086294416243655,4.4015864571679295e-05,,,,,,
48,361.7500447414293,1.8087502237071464,200,1.304347400665283,200,200,229.2,118.27118524043108,0.04065989847715736,4.375897901705595e-05,,,,,,
49,362.9987196604965,1.8149935983024823,200,1.2765531325340271,200,200,200.2,109.31607861572397,0.040456852791878176,4.3497496862109535e-05,,,,,,
50,361.763207173456,1.80881603586728,200,1.228405864238739,200,200,243.3,115.56223935020996,0.04025380710659899,4.32314839335742e-05,200.0,200.0,238.3,109.97509269250767,362.93182594334615,200.0
51,360.3555901449099,1.8017779507245495,200,1.2599068880081177,200,200,338.65,127.63718680256657,0.0400507614213198,4.296100719878214e-05,,,,,,
52,359.3086250837925,1.7965431254189625,200,1.205774381160736,200,200,224.75,117.82081678503152,0.03984771573604061,4.2686134748804865e-05,,,,,,
53,363.028387711099,1.815141938555495,200,1.2162811708450318,200,200,208.9,113.21650193383829,0.03964467005076142,4.240693578131173e-05,,,,,,
54,304.15015716337535,1.5207507858168767,200,1.311869728565216,200,200,485.7,504.0763691477689,0.039441624365482236,4.2123480583149715e-05,,,,,,
55,360.10252933416314,1.8005126466708157,200,1.2654695153236388,200,200,244.3,121.13199056704352,0.03923857868020305,4.1835840512649106e-05,200.0,200.0,234.1,114.18081570741379,362.2024431715246,200.0
56,359.7163596848514,1.798581798424257,200,1.2419006729125976,200,200,241.9,120.35776508370229,0.03903553299492386,4.154408798165946e-05,,,,,,
57,355.933257132202,1.7796662856610101,200,1.2768348670005798,200,200,322.9,130.0056212186326,0.03883248730964467,4.124829643732018e-05,,,,,,
58,356.5192941158604,1.782596470579302,200,1.2111917757987976,200,200,288.45,133.1513842061461,0.03862944162436548,4.0948540343570765e-05,,,,,,
59,361.1350301007784,1.805675150503892,200,1.2212925481796264,200,200,220.4,119.7842064813932,0.0384263959390863,4.064489516240482e-05,,,,,,
60,358.20070124079535,1.7910035062039769,200,1.1611282300949097,200,200,233.3,117.19949004161505,0.03822335025380711,4.033743733487283e-05,200.0,200.0,531.2,383.92764564274773,313.8943415949103,200.0
61,350.31761816051034,1.7515880908025516,200,1.1810661602020263,200,200,270.4,160.64388023464036,0.038020304568527924,4.0026244261838694e-05,,,,,,
62,357.40585148129117,1.787029257406456,200,1.2111353516578673,200,200,232.05,117.95966028653598,0.03781725888324873,3.971139428449434e-05,,,,,,
63,361.26620224637776,1.8063310112318889,200,1.219331102371216,200,200,251.45,118.9246381205632,0.037614213197969544,3.939296666463787e-05,,,,,,
64,348.4216229985398,1.7421081149926991,200,1.186128237247467,200,200,365.0,174.7579852075377,0.03741116751269036,3.907104156471968e-05,,,,,,
65,337.8102624273128,1.689051312136564,200,1.2360328459739685,200,200,459.45,293.9404548637904,0.03720812182741117,3.874570002766211e-05,200.0,200.0,243.7,117.75139291258536,359.2785946096124,200.0
66,327.69912817891634,1.6384956408945817,200,1.2387266612052918,200,200,503.2,352.7004581798888,0.037005076142131985,3.8417023956457276e-05,,,,,,
67,359.9332288178912,1.799666144089456,200,1.2485831737518311,200,200,238.15,119.69222987874232,0.03680203045685279,3.808509609354843e-05,,,,,,
68,363.067544548796,1.81533772274398,200,1.251739251613617,200,200,202.95,114.26022107183714,0.036598984771573605,3.774999999999997e-05,,,,,,
69,348.91312805519783,1.7445656402759893,200,1.23255633354187,200,200,419.6,183.40795220067204,0.03639593908629442,3.7411820034461476e-05,,,,,,
70,320.8272918837616,1.604136459418808,200,1.271436607837677,200,200,564.5,382.6177397657385,0.03619289340101523,3.707064133193072e-05,200.0,200.0,380.9,167.59407822240192,350.7303702364484,200.0
71,361.1857814475874,1.805928907237937,200,1.2260107016563415,200,200,191.55,113.32969458701734,0.035989847715736045,3.672654978232157e-05,,,,,,
72,357.268868116953,1.786344340584765,200,1.2700066447257996,200,200,257.8,120.89705592831723,0.03578680203045685,3.637963200884146e-05,,,,,,
73,357.8983157952363,1.7894915789761814,200,1.213437259197235,200,199,304.47236180904525,128.10163081689018,0.035583756345177665,3.602997534618468e-05,,,,,,
74,333.1307276845297,1.6656536384226484,200,1.2923730278015138,200,200,485.0,257.33718595495884,0.03538071065989848,3.5677667818546195e-05,,,,,,
75,360.9451253055877,1.8047256265279383,200,1.2567098784446715,200,200,338.25,123.6667951291863,0.03517766497461929,3.532279811746201e-05,200.0,200.0,576.05,229.3460627880976,336.64647893748156,200.0
76,354.54435071042207,1.7727217535521103,200,1.2021694684028625,200,200,342.25,143.31637245497777,0.034974619289340106,3.496545557948162e-05,,,,,,
77,356.16541554055226,1.7808270777027613,200,1.2079109811782838,200,200,345.15,136.8896348994377,0.03477157360406092,3.460573016367798e-05,,,,,,
78,317.22356379334974,1.5861178189667486,200,1.2543145680427552,200,200,572.85,409.9724768919022,0.03456852791878173,3.424371242900085e-05,,,,,,
79,303.56908877343346,1.5178454438671674,200,1.248681104183197,200,200,619.8,529.9672028744915,0.03436548223350254,3.3879493511478874e-05,,,,,,
80,362.2393378221042,1.811196689110521,200,1.3208675861358643,200,200,245.55,118.02015134641513,0.03416243654822335,3.351316510127683e-05,200.0,200.0,272.15,120.14880173753859,362.05026203854334,200.0
81,349.19824019168414,1.7459912009584206,200,1.2518678283691407,200,200,377.55,168.1058778027232,0.03395939086294417,3.314481941961295e-05,,,,,,
82,356.99580028063633,1.7849790014031817,200,1.2731340885162354,200,200,330.25,129.99721575400352,0.03375634517766497,3.277454919554278e-05,,,,,,
83,359.3885932020493,1.7969429660102465,200,1.3428665065765382,200,200,325.8,127.76692838903269,0.033553299492385794,3.240244764261508e-05,,,,,,
